CellID	Cell type
X1000101004.E11	epsilon
X1000101004.E12	acinar
X1000101004.E2	epsilon
X1000101004.E4	acinar
X1000101004.E6	acinar
X1000101004.E9	epsilon
X1000101004.F11	acinar
X1000101004.F12	epsilon
X1000101004.F2	epsilon
X1000101004.F3	acinar
X1000101004.F4	mesenchymal
X1000101004.F5	acinar
X1000101004.G1	delta
X1000101004.G10	acinar
X1000101004.G4	delta
X1000101004.G7	epsilon
X1000101004.H10	delta
X1000101004.H12	epsilon
X1000101004.H3	acinar
X1000101004.H5	acinar
X1000101004.H6	acinar
X1000101004.H8	acinar
X1000101004.H9	acinar
X1000101005.A1	mesenchymal
X1000101005.A10	mesenchymal
X1000101005.A11	mesenchymal
X1000101005.A12	endothelial
X1000101005.A4	mesenchymal
X1000101005.A6	mesenchymal
X1000101005.A7	mesenchymal
X1000101005.A8	mesenchymal
X1000101005.A9	mesenchymal
X1000101005.B1	mesenchymal
X1000101005.B11	mesenchymal
X1000101005.B12	mesenchymal
X1000101005.B2	acinar
X1000101005.B3	mesenchymal
X1000101005.B5	mesenchymal
X1000101005.B6	mesenchymal
X1000101005.B7	endothelial
X1000101005.C1	mesenchymal
X1000101005.C10	mesenchymal
X1000101005.C11	mesenchymal
X1000101005.C2	mesenchymal
X1000101005.C4	delta
X1000101005.C6	mesenchymal
X1000101005.C7	mesenchymal
X1000101005.C9	mesenchymal
X1000101005.D1	mesenchymal
X1000101005.D10	mesenchymal
X1000101005.D11	mesenchymal
X1000101005.D12	acinar
X1000101005.D2	mesenchymal
X1000101005.D3	mesenchymal
X1000101005.D4	mesenchymal
X1000101005.D5	mesenchymal
X1000101005.D7	gamma
X1000101005.D8	mesenchymal
X1000101005.D9	delta
X1000101005.E1	mesenchymal
X1000101005.E10	mesenchymal
X1000101005.E11	mesenchymal
X1000101005.E12	mesenchymal
X1000101005.E2	endothelial
X1000101005.E3	mesenchymal
X1000101005.E5	mesenchymal
X1000101005.E8	mesenchymal
X1000101005.F1	mesenchymal
X1000101005.F10	epsilon
X1000101005.F11	mesenchymal
X1000101005.F12	mesenchymal
X1000101005.F2	delta
X1000101005.F4	endothelial
X1000101005.F6	mesenchymal
X1000101005.F7	mesenchymal
X1000101005.F9	mesenchymal
X1000101005.G1	delta
X1000101005.G10	mesenchymal
X1000101005.G11	acinar
X1000101005.G12	delta
X1000101005.G2	mesenchymal
X1000101005.G4	mesenchymal
X1000101005.G5	mesenchymal
X1000101005.G6	mesenchymal
X1000101005.G7	mesenchymal
X1000101005.G8	mesenchymal
X1000101005.G9	mesenchymal
X1000101005.H1	mesenchymal
X1000101005.H10	mesenchymal
X1000101005.H11	mesenchymal
X1000101005.H2	delta
X1000101005.H3	delta
X1000101005.H4	mesenchymal
X1000101005.H5	mesenchymal
X1000101005.H6	mesenchymal
X1000101005.H8	mesenchymal
X1000101005.H9	endothelial
X1000101301.A1	mesenchymal
X1000101301.A10	delta
X1000101301.A11	endothelial
X1000101301.A12	mesenchymal
X1000101301.A2	delta
X1000101301.A4	mesenchymal
X1000101301.A5	mesenchymal
X1000101301.A6	mesenchymal
X1000101301.A7	endothelial
X1000101301.A8	mesenchymal
X1000101301.A9	mesenchymal
X1000101301.B1	mesenchymal
X1000101301.B10	mesenchymal
X1000101301.B11	mesenchymal
X1000101301.B12	mesenchymal
X1000101301.B2	mesenchymal
X1000101301.B3	mesenchymal
X1000101301.B4	delta
X1000101301.B5	delta
X1000101301.B6	mesenchymal
X1000101301.B8	mesenchymal
X1000101301.B9	mesenchymal
X1000101301.C1	delta
X1000101301.C10	mesenchymal
X1000101301.C11	mesenchymal
X1000101301.C12	mesenchymal
X1000101301.C2	mesenchymal
X1000101301.C3	mesenchymal
X1000101301.C4	delta
X1000101301.C5	mesenchymal
X1000101301.C6	mesenchymal
X1000101301.C7	mesenchymal
X1000101301.C8	mesenchymal
X1000101301.C9	mesenchymal
X1000101301.D1	mesenchymal
X1000101301.D10	mesenchymal
X1000101301.D11	mesenchymal
X1000101301.D12	endothelial
X1000101301.D4	mesenchymal
X1000101301.D5	epsilon
X1000101301.D6	delta
X1000101301.D7	mesenchymal
X1000101301.D8	endothelial
X1000101301.D9	mesenchymal
X1000101301.E1	delta
X1000101301.E10	mesenchymal
X1000101301.E11	mesenchymal
X1000101301.E12	mesenchymal
X1000101301.E2	endothelial
X1000101301.E3	mesenchymal
X1000101301.E4	endothelial
X1000101301.E5	endothelial
X1000101301.E7	mesenchymal
X1000101301.E8	mesenchymal
X1000101301.E9	mesenchymal
X1000101301.F1	mesenchymal
X1000101301.F12	mesenchymal
X1000101301.F2	mesenchymal
X1000101301.F3	delta
X1000101301.F4	mesenchymal
X1000101301.F5	mesenchymal
X1000101301.F6	mesenchymal
X1000101301.F7	mesenchymal
X1000101301.F8	mesenchymal
X1000101301.F9	mesenchymal
X1000101301.G1	mesenchymal
X1000101301.G10	mesenchymal
X1000101301.G11	mesenchymal
X1000101301.G12	mesenchymal
X1000101301.G2	endothelial
X1000101301.G3	delta
X1000101301.G4	mesenchymal
X1000101301.G5	mesenchymal
X1000101301.G6	endothelial
X1000101301.G7	mesenchymal
X1000101301.G8	delta
X1000101301.G9	delta
X1000101301.H1	mesenchymal
X1000101301.H10	endothelial
X1000101301.H11	delta
X1000101301.H2	endothelial
X1000101301.H3	delta
X1000101301.H4	delta
X1000101301.H5	delta
X1000101301.H6	mesenchymal
X1000101301.H7	mesenchymal
X1000101301.H8	endothelial
X1000101301.H9	endothelial
X1000101302.A1	mesenchymal
X1000101302.A10	mesenchymal
X1000101302.A11	mesenchymal
X1000101302.A12	mesenchymal
X1000101302.A2	delta
X1000101302.A3	delta
X1000101302.A4	delta
X1000101302.A5	mesenchymal
X1000101302.A6	mesenchymal
X1000101302.A7	mesenchymal
X1000101302.A8	mesenchymal
X1000101302.A9	mesenchymal
X1000101302.B1	mesenchymal
X1000101302.B10	mesenchymal
X1000101302.B11	mesenchymal
X1000101302.B12	endothelial
X1000101302.B2	mesenchymal
X1000101302.B3	mesenchymal
X1000101302.B4	mesenchymal
X1000101302.B5	mesenchymal
X1000101302.B6	delta
X1000101302.B7	endothelial
X1000101302.B8	delta
X1000101302.B9	mesenchymal
X1000101302.C1	delta
X1000101302.C10	delta
X1000101302.C11	mesenchymal
X1000101302.C12	endothelial
X1000101302.C2	mesenchymal
X1000101302.C3	mesenchymal
X1000101302.C4	mesenchymal
X1000101302.C5	mesenchymal
X1000101302.C6	delta
X1000101302.C7	mesenchymal
X1000101302.C8	mesenchymal
X1000101302.C9	ductal
X1000101302.D1	mesenchymal
X1000101302.D10	mesenchymal
X1000101302.D11	delta
X1000101302.D12	mesenchymal
X1000101302.D2	delta
X1000101302.D3	mesenchymal
X1000101302.D4	mesenchymal
X1000101302.D5	mesenchymal
X1000101302.D6	epsilon
X1000101302.D7	delta
X1000101302.D8	endothelial
X1000101302.D9	delta
X1000101302.E1	mesenchymal
X1000101302.E10	delta
X1000101302.E11	mesenchymal
X1000101302.E12	delta
X1000101302.E2	delta
X1000101302.E3	delta
X1000101302.E4	mesenchymal
X1000101302.E5	mesenchymal
X1000101302.E6	delta
X1000101302.E7	mesenchymal
X1000101302.E8	mesenchymal
X1000101302.E9	mesenchymal
X1000101302.F1	mesenchymal
X1000101302.F10	mesenchymal
X1000101302.F11	epsilon
X1000101302.F12	mesenchymal
X1000101302.F2	mesenchymal
X1000101302.F3	mesenchymal
X1000101302.F4	mesenchymal
X1000101302.F5	mesenchymal
X1000101302.F6	mesenchymal
X1000101302.F7	endothelial
X1000101302.F8	mesenchymal
X1000101302.F9	mesenchymal
X1000101302.G1	endothelial
X1000101302.G10	endothelial
X1000101302.G11	mesenchymal
X1000101302.G12	mesenchymal
X1000101302.G2	mesenchymal
X1000101302.G3	delta
X1000101302.G4	mesenchymal
X1000101302.G5	mesenchymal
X1000101302.G6	epsilon
X1000101302.G7	mesenchymal
X1000101302.G8	mesenchymal
X1000101302.G9	delta
X1000101302.H1	mesenchymal
X1000101302.H10	mesenchymal
X1000101302.H11	ductal
X1000101302.H12	delta
X1000101302.H2	delta
X1000101302.H3	delta
X1000101302.H4	mesenchymal
X1000101302.H5	mesenchymal
X1000101302.H6	mesenchymal
X1000101302.H7	delta
X1000101302.H8	mesenchymal
X1000101302.H9	mesenchymal
X1000101303.A10	mesenchymal
X1000101303.A11	mesenchymal
X1000101303.A12	mesenchymal
X1000101303.A2	mesenchymal
X1000101303.A3	mesenchymal
X1000101303.A4	endothelial
X1000101303.A5	mesenchymal
X1000101303.A6	mesenchymal
X1000101303.A7	delta
X1000101303.A8	mesenchymal
X1000101303.A9	mesenchymal
X1000101303.B1	mesenchymal
X1000101303.B10	delta
X1000101303.B11	mesenchymal
X1000101303.B12	mesenchymal
X1000101303.B2	delta
X1000101303.B3	mesenchymal
X1000101303.B4	delta
X1000101303.B5	mesenchymal
X1000101303.B6	mesenchymal
X1000101303.B7	mesenchymal
X1000101303.B8	mesenchymal
X1000101303.B9	mesenchymal
X1000101303.C1	delta
X1000101303.C10	mesenchymal
X1000101303.C11	epsilon
X1000101303.C12	mesenchymal
X1000101303.C2	mesenchymal
X1000101303.C3	mesenchymal
X1000101303.C4	mesenchymal
X1000101303.C5	mesenchymal
X1000101303.C6	mesenchymal
X1000101303.C7	mesenchymal
X1000101303.C8	mesenchymal
X1000101303.C9	mesenchymal
X1000101303.D1	mesenchymal
X1000101303.D10	mesenchymal
X1000101303.D11	mesenchymal
X1000101303.D12	delta
X1000101303.D2	mesenchymal
X1000101303.D3	mesenchymal
X1000101303.D4	mesenchymal
X1000101303.D5	mesenchymal
X1000101303.D6	epsilon
X1000101303.D7	mesenchymal
X1000101303.D8	mesenchymal
X1000101303.D9	delta
X1000101303.E1	mesenchymal
X1000101303.E10	mesenchymal
X1000101303.E11	mesenchymal
X1000101303.E12	mesenchymal
X1000101303.E2	delta
X1000101303.E3	delta
X1000101303.E4	mesenchymal
X1000101303.E5	mesenchymal
X1000101303.E6	delta
X1000101303.E7	mesenchymal
X1000101303.E8	endothelial
X1000101303.E9	mesenchymal
X1000101303.F1	delta
X1000101303.F10	delta
X1000101303.F11	delta
X1000101303.F12	mesenchymal
